sample_id,sample_ts,cam_id,people_count,unknown_count,lying_count,fall_count,extra
81,2026-03-22 04:46:53.138057-07,CAM_01,1,0,0,0,"{""fps"": 29.89837854277948}"
82,2026-03-22 04:47:03.162929-07,CAM_01,2,0,0,0,"{""fps"": 29.97258072084763}"
83,2026-03-22 04:47:13.171633-07,CAM_01,1,0,0,0,"{""fps"": 30.37335773976964}"
84,2026-03-22 04:47:23.194557-07,CAM_01,1,0,0,0,"{""fps"": 29.956611058192607}"
85,2026-03-22 04:47:33.193236-07,CAM_01,1,0,0,0,"{""fps"": 29.28114893302126}"
86,2026-03-22 04:47:43.215651-07,CAM_01,1,0,0,0,"{""fps"": 29.99131654076043}"
87,2026-03-22 04:47:53.224733-07,CAM_01,1,0,0,0,"{""fps"": 28.99843057543263}"
88,2026-03-22 04:48:03.226519-07,CAM_01,1,0,0,0,"{""fps"": 27.8966820100916}"
89,2026-03-22 04:48:13.253415-07,CAM_01,0,0,0,0,"{""fps"": 30.203713830019034}"
90,2026-03-22 04:48:23.2701-07,CAM_01,1,0,0,0,"{""fps"": 29.266132012739217}"
91,2026-03-22 04:48:33.28105-07,CAM_01,1,0,0,0,"{""fps"": 30.5002152223546}"
92,2026-03-22 04:48:43.299233-07,CAM_01,1,0,0,0,"{""fps"": 29.99182155036242}"
93,2026-03-22 04:48:53.311267-07,CAM_01,1,0,0,0,"{""fps"": 29.990604483058277}"
94,2026-03-22 04:49:03.343885-07,CAM_01,1,0,0,0,"{""fps"": 28.09866368573433}"
95,2026-03-22 04:49:13.34537-07,CAM_01,1,0,0,0,"{""fps"": 30.051136433235285}"
96,2026-03-22 04:49:23.346097-07,CAM_01,1,0,0,0,"{""fps"": 27.919575616693287}"
97,2026-03-22 04:49:33.373094-07,CAM_01,1,0,0,0,"{""fps"": 30.041374307006812}"
98,2026-03-22 04:49:43.402155-07,CAM_01,0,0,0,0,"{""fps"": 30.05986244773127}"
99,2026-03-22 04:49:53.433017-07,CAM_01,1,0,0,0,"{""fps"": 29.077524508552198}"
100,2026-03-22 04:50:03.466264-07,CAM_01,1,0,0,0,"{""fps"": 28.89950673443752}"
101,2026-03-22 04:50:13.466631-07,CAM_01,1,0,0,0,"{""fps"": 29.99396630115991}"
102,2026-03-22 04:50:23.495987-07,CAM_01,1,0,0,0,"{""fps"": 29.981557746175497}"
103,2026-03-22 04:50:33.498643-07,CAM_01,1,0,0,0,"{""fps"": 28.726576238490814}"
104,2026-03-22 04:50:43.529536-07,CAM_01,1,0,0,0,"{""fps"": 29.448458175321747}"
105,2026-03-22 04:50:53.560893-07,CAM_01,1,0,0,0,"{""fps"": 29.991305011059417}"
106,2026-03-22 04:51:03.624521-07,CAM_01,1,0,0,0,"{""fps"": 29.964637496661272}"
107,2026-03-22 04:51:13.659192-07,CAM_01,1,0,0,0,"{""fps"": 30.146584311761544}"
108,2026-03-22 04:51:23.680682-07,CAM_01,1,0,0,0,"{""fps"": 29.97975762519966}"
109,2026-03-22 04:51:33.684472-07,CAM_01,1,0,0,0,"{""fps"": 30.475937604961903}"
110,2026-03-22 04:51:43.682411-07,CAM_01,1,0,0,0,"{""fps"": 29.968540314911234}"
111,2026-03-22 04:51:53.741392-07,CAM_01,1,0,0,0,"{""fps"": 28.112015579213324}"
112,2026-03-22 09:40:13.169002-07,CAM_01,0,0,0,0,"{""fps"": 0.5338697610030424}"
113,2026-03-22 09:40:29.469959-07,CAM_01,1,0,0,0,"{""fps"": 0.5338697610030424}"
114,2026-03-22 09:40:39.443822-07,CAM_01,1,0,0,0,"{""fps"": 30.10076708402736}"
115,2026-03-22 09:40:49.457048-07,CAM_01,1,0,0,0,"{""fps"": 30.492640402693}"
116,2026-03-22 09:40:59.46637-07,CAM_01,1,0,0,0,"{""fps"": 29.997689901867318}"
117,2026-03-22 09:41:09.486266-07,CAM_01,2,0,0,0,"{""fps"": 29.762562488690833}"
118,2026-03-22 09:41:19.498511-07,CAM_01,1,0,0,0,"{""fps"": 29.967498266788574}"
119,2026-03-22 09:41:29.536451-07,CAM_01,1,0,0,0,"{""fps"": 27.890222624467057}"
120,2026-03-22 09:41:39.585674-07,CAM_01,1,0,0,0,"{""fps"": 28.27823585016639}"
121,2026-03-22 09:41:49.61686-07,CAM_01,2,0,0,0,"{""fps"": 28.968028355392747}"
122,2026-03-22 09:43:07.652063-07,CAM_01,0,0,0,0,"{""fps"": 0.49288314921278964}"
151,2026-03-22 09:50:52.989554-07,CAM_01,0,0,0,0,"{""fps"": 0.4561286402685853}"
152,2026-03-22 09:51:14.321057-07,CAM_01,1,0,0,0,"{""fps"": 0.4561286402685853}"
153,2026-03-22 09:51:34.160487-07,CAM_01,1,0,0,0,"{""fps"": 0.1866076639449349}"
154,2026-03-22 09:51:43.908518-07,CAM_01,0,0,0,0,"{""fps"": 25.754283626583813}"
155,2026-03-22 09:51:53.921869-07,CAM_01,1,0,0,0,"{""fps"": 26.974172526153318}"
156,2026-03-22 09:52:03.929447-07,CAM_01,1,0,0,0,"{""fps"": 26.35754263668539}"
157,2026-03-22 09:52:13.944861-07,CAM_01,1,0,0,0,"{""fps"": 27.154032566662234}"
158,2026-03-22 09:52:23.988845-07,CAM_01,1,0,0,0,"{""fps"": 28.78623957211658}"
159,2026-03-22 09:52:34.00275-07,CAM_01,1,0,0,0,"{""fps"": 27.013399682713548}"
160,2026-03-22 09:52:44.049699-07,CAM_01,1,0,0,0,"{""fps"": 27.077482672008358}"
161,2026-03-22 09:52:54.094331-07,CAM_01,1,0,1,0,"{""fps"": 26.634336690203693}"
162,2026-03-22 09:53:04.109805-07,CAM_01,1,0,0,0,"{""fps"": 26.55554990257656}"
163,2026-03-22 09:53:14.127406-07,CAM_01,1,0,0,0,"{""fps"": 28.50107035874826}"
164,2026-03-22 09:53:24.124521-07,CAM_01,1,0,0,0,"{""fps"": 25.90131782084059}"
165,2026-03-22 09:53:34.142754-07,CAM_01,1,0,0,0,"{""fps"": 26.741408699572602}"
166,2026-03-22 09:53:44.143657-07,CAM_01,1,0,0,0,"{""fps"": 27.8844878728887}"
167,2026-03-22 09:53:54.154719-07,CAM_01,1,0,1,0,"{""fps"": 28.832216088701955}"
168,2026-03-22 09:54:04.164314-07,CAM_01,1,0,0,0,"{""fps"": 26.9750270771645}"
169,2026-03-22 09:54:14.188961-07,CAM_01,1,0,0,0,"{""fps"": 26.92742192628939}"
170,2026-03-22 09:54:24.21237-07,CAM_01,1,0,0,0,"{""fps"": 26.90239882494939}"
171,2026-03-22 09:54:34.240181-07,CAM_01,1,0,0,0,"{""fps"": 24.42157550948541}"
172,2026-03-22 09:54:44.284392-07,CAM_01,1,0,0,0,"{""fps"": 26.497227232621157}"
173,2026-03-22 09:54:54.255092-07,CAM_01,1,0,0,0,"{""fps"": 28.7964484444899}"
199,2026-03-22 19:48:14.657219-07,CAM_01,0,0,0,0,"{""fps"": 0.44230793769203913}"
200,2026-03-22 19:48:35.08683-07,CAM_01,1,0,0,0,"{""fps"": 0.44230793769203913}"
201,2026-03-22 19:48:44.689888-07,CAM_01,1,0,0,0,"{""fps"": 28.981944603622136}"
202,2026-03-22 19:48:54.697137-07,CAM_01,1,0,0,0,"{""fps"": 29.89173050645493}"
203,2026-03-22 19:49:04.707542-07,CAM_01,0,0,0,0,"{""fps"": 29.922708838568436}"
204,2026-03-22 19:49:14.712041-07,CAM_01,0,0,0,0,"{""fps"": 30.107472185128522}"
205,2026-03-22 19:49:24.717477-07,CAM_01,1,0,0,0,"{""fps"": 29.97408008850074}"
206,2026-03-22 19:49:34.716805-07,CAM_01,0,0,0,0,"{""fps"": 30.371846539553022}"
207,2026-03-22 19:49:44.729903-07,CAM_01,0,0,0,0,"{""fps"": 30.039819617966952}"
208,2026-03-22 19:49:54.744517-07,CAM_01,0,0,0,0,"{""fps"": 30.064199549626935}"
209,2026-03-22 19:50:04.773049-07,CAM_01,0,0,0,0,"{""fps"": 29.921171915610433}"
210,2026-03-22 19:50:14.805656-07,CAM_01,0,0,0,0,"{""fps"": 29.998469430814218}"
211,2026-03-22 19:50:24.87579-07,CAM_01,0,0,0,0,"{""fps"": 29.971324223492413}"
212,2026-03-22 19:50:34.90497-07,CAM_01,0,0,0,0,"{""fps"": 29.93251296189633}"
213,2026-03-22 19:50:44.904272-07,CAM_01,1,0,0,0,"{""fps"": 30.293266134781682}"
214,2026-03-22 19:50:54.928736-07,CAM_01,1,0,0,0,"{""fps"": 30.422543067635615}"
215,2026-03-22 19:51:04.94597-07,CAM_01,1,0,0,0,"{""fps"": 29.92520667515382}"
216,2026-03-22 19:51:14.960259-07,CAM_01,1,0,0,0,"{""fps"": 30.0738373987764}"
217,2026-03-22 19:51:24.961364-07,CAM_01,1,0,0,0,"{""fps"": 29.995036946382335}"
218,2026-03-22 19:51:34.99001-07,CAM_01,1,0,0,0,"{""fps"": 30.040576120658187}"
219,2026-03-22 19:51:45.022-07,CAM_01,1,0,0,0,"{""fps"": 29.963539559034594}"
220,2026-03-22 19:51:55.052636-07,CAM_01,1,0,0,0,"{""fps"": 30.13471359449552}"
221,2026-03-22 19:52:05.117862-07,CAM_01,1,0,0,0,"{""fps"": 30.544982657099197}"
222,2026-03-22 19:52:15.131214-07,CAM_01,1,0,0,0,"{""fps"": 30.464841120501184}"
223,2026-03-22 19:52:25.153516-07,CAM_01,1,0,0,0,"{""fps"": 29.97817912557831}"
224,2026-03-22 19:52:35.179916-07,CAM_01,1,0,0,0,"{""fps"": 29.981729197542926}"
225,2026-03-22 19:52:45.215432-07,CAM_01,1,0,0,0,"{""fps"": 30.13977095582653}"
226,2026-03-22 19:52:55.24297-07,CAM_01,1,0,0,0,"{""fps"": 30.04815018780177}"
227,2026-03-22 19:53:05.310393-07,CAM_01,1,0,0,0,"{""fps"": 29.953238057422638}"
228,2026-03-22 19:53:15.340555-07,CAM_01,1,0,0,0,"{""fps"": 29.491964947840835}"
229,2026-03-22 19:53:25.370774-07,CAM_01,1,0,0,0,"{""fps"": 29.462758191720418}"
230,2026-03-22 19:53:35.369036-07,CAM_01,1,0,0,0,"{""fps"": 30.02478769371736}"
231,2026-03-22 19:53:45.399905-07,CAM_01,1,0,0,0,"{""fps"": 29.988931926102254}"
232,2026-03-22 19:53:55.4295-07,CAM_01,1,0,0,0,"{""fps"": 30.06581933327876}"
233,2026-03-22 19:54:05.492368-07,CAM_01,1,0,0,0,"{""fps"": 29.667499113481867}"
234,2026-03-22 19:54:15.493106-07,CAM_01,1,0,0,0,"{""fps"": 29.993556929875894}"
235,2026-03-22 19:54:25.494048-07,CAM_01,1,0,0,0,"{""fps"": 29.429794970131876}"
236,2026-03-22 19:54:35.496933-07,CAM_01,1,0,0,0,"{""fps"": 30.46773228280772}"
237,2026-03-22 19:54:45.503723-07,CAM_01,1,0,0,0,"{""fps"": 29.5980476092159}"
238,2026-03-22 19:54:55.521612-07,CAM_01,1,0,0,0,"{""fps"": 29.929363544053416}"
239,2026-03-22 19:55:05.525278-07,CAM_01,1,0,0,0,"{""fps"": 29.52314719996149}"
240,2026-03-22 19:55:15.53823-07,CAM_01,1,0,0,0,"{""fps"": 30.04992102916767}"
241,2026-03-22 19:55:25.550637-07,CAM_01,1,0,0,0,"{""fps"": 29.99602370520113}"
242,2026-03-22 19:55:35.606994-07,CAM_01,1,0,0,0,"{""fps"": 29.026901110379583}"
243,2026-03-22 19:55:45.640919-07,CAM_01,1,0,0,0,"{""fps"": 30.10288562894783}"
244,2026-03-22 19:55:55.673957-07,CAM_01,1,0,0,0,"{""fps"": 31.07088921843654}"
245,2026-03-22 19:56:05.690423-07,CAM_01,1,0,0,0,"{""fps"": 29.801423505750012}"
246,2026-03-22 19:56:15.735206-07,CAM_01,1,0,0,0,"{""fps"": 29.95028641366674}"
247,2026-03-22 19:56:25.737797-07,CAM_01,1,0,0,0,"{""fps"": 30.45634214018918}"
248,2026-03-22 19:56:35.767722-07,CAM_01,1,0,0,0,"{""fps"": 29.991183488549858}"
249,2026-03-22 19:56:45.799353-07,CAM_01,1,0,0,0,"{""fps"": 29.995144199630843}"
250,2026-03-24 00:07:30.407211-07,CAM_01,0,0,0,0,"{""fps"": 0.7568654759200149}"
251,2026-03-24 00:07:41.89736-07,CAM_01,0,0,0,0,"{""fps"": 0.7568654759200149}"
252,2026-03-24 00:08:02.08693-07,CAM_01,0,0,0,0,"{""fps"": 0.33937132902833356}"
253,2026-03-24 00:08:11.864148-07,CAM_01,0,0,0,0,"{""fps"": 5.204130908609644}"
254,2026-03-24 00:08:22.005189-07,CAM_01,0,0,0,0,"{""fps"": 5.767115615366494}"
255,2026-03-24 00:08:35.509743-07,CAM_01,0,0,0,0,"{""fps"": 3.2087518982209318}"
256,2026-03-24 00:08:46.235153-07,CAM_01,0,0,0,0,"{""fps"": 0.354268875486472}"
257,2026-03-24 00:08:56.902723-07,CAM_01,0,0,0,0,"{""fps"": 0.9508122916565128}"
258,2026-03-24 00:09:07.437469-07,CAM_01,0,0,0,0,"{""fps"": 0.6710173511166174}"
259,2026-03-24 00:09:21.387319-07,CAM_01,0,0,0,0,"{""fps"": 4.3227501994257365}"
260,2026-03-24 00:09:33.88768-07,CAM_01,0,0,0,0,"{""fps"": 2.081727182227388}"
261,2026-03-24 00:09:44.085725-07,CAM_01,0,0,0,0,"{""fps"": 0.18127316410962463}"
262,2026-03-24 00:09:55.723099-07,CAM_01,0,0,0,0,"{""fps"": 5.61413828643326}"
263,2026-03-24 00:10:07.654257-07,CAM_01,0,0,0,0,"{""fps"": 4.687676305994337}"
264,2026-03-24 00:10:21.411362-07,CAM_01,0,0,0,0,"{""fps"": 1.536682850310772}"
